selection_id,usage_count,territories,celebration_ids,nigeria_365_firestore_reference_normalized,nigeria_365_firestore_response_text,nigeria_365_firestore_stanzas_text,nigeria_365_firestore_source_url,nigeria_365_firestore_coverage_status,nigeria_365_firestore_missing_reason,nigeria_365_firestore_raw_sha256,nigeria_365_firestore_normalized_sha256,nigeria_365_firestore_difference_class,nigeria_365_firestore_match_score,modern_psalter_us_reference_normalized,modern_psalter_us_response_text,modern_psalter_us_stanzas_text,modern_psalter_us_source_url,modern_psalter_us_coverage_status,modern_psalter_us_missing_reason,modern_psalter_us_raw_sha256,modern_psalter_us_normalized_sha256,modern_psalter_us_difference_class,modern_psalter_us_match_score,jerusalem_bible_reference_normalized,jerusalem_bible_response_text,jerusalem_bible_stanzas_text,jerusalem_bible_source_url,jerusalem_bible_coverage_status,jerusalem_bible_missing_reason,jerusalem_bible_raw_sha256,jerusalem_bible_normalized_sha256,jerusalem_bible_difference_class,jerusalem_bible_match_score,esvce_reference_normalized,esvce_response_text,esvce_stanzas_text,esvce_source_url,esvce_coverage_status,esvce_missing_reason,esvce_raw_sha256,esvce_normalized_sha256,esvce_difference_class,esvce_match_score,local_rsvce_reference_normalized,local_rsvce_response_text,local_rsvce_stanzas_text,local_rsvce_source_url,local_rsvce_coverage_status,local_rsvce_missing_reason,local_rsvce_raw_sha256,local_rsvce_normalized_sha256,local_rsvce_difference_class,local_rsvce_match_score,local_nabre_reference_normalized,local_nabre_response_text,local_nabre_stanzas_text,local_nabre_source_url,local_nabre_coverage_status,local_nabre_missing_reason,local_nabre_raw_sha256,local_nabre_normalized_sha256,local_nabre_difference_class,local_nabre_match_score,douay_rheims_reference_normalized,douay_rheims_response_text,douay_rheims_stanzas_text,douay_rheims_source_url,douay_rheims_coverage_status,douay_rheims_missing_reason,douay_rheims_raw_sha256,douay_rheims_normalized_sha256,douay_rheims_difference_class,douay_rheims_match_score,complete_edition_count,comparison_status
dan3_52_53_54_55_56,1,WORLD,,,,,,unavailable,edition text not installed,,,missing_text,,,,,,unavailable,edition text not installed,,,missing_text,,,,,,unavailable,edition text not installed,,,missing_text,,,,,,unavailable,edition text not installed,,,missing_text,,"dan3:52,53,54,55,56",(52b) Glory and praise for ever!,"Let the earth bless the Lord; let it sing praise to him and highly exalt him for ever.

Bless the Lord, mountains and hills, sing praise to him and highly exalt him for ever.

Bless the Lord, all things that grow on the earth, sing praise to him and highly exalt him for ever.

Bless the Lord, you springs, sing praise to him and highly exalt him for ever.

Bless the Lord, seas and rivers, sing praise to him and highly exalt him for ever.",repo://assets/rsvce.db,complete,,deebac5a58ef9e267e45914ce11a94deb7a164484e73c661ba9a6f7d62653e4c,be477b741c408ed5832e38aca263739fbd4fdb88786c968116ae2de0bb4a381a,exact,1.0,"dan3:52,53,54,55,56",(52b) Glory and praise for ever!,"“Blessed are you, O Lord, the God of our ancestors, praiseworthy and exalted above all forever; And blessed is your holy and glorious name, praiseworthy and exalted above all for all ages.

Blessed are you in the temple of your holy glory, praiseworthy and glorious above all forever.

Blessed are you on the throne of your kingdom, praiseworthy and exalted above all forever.

Blessed are you who look into the depths from your throne upon the cherubim, praiseworthy and exalted above all forever.

Blessed are you in the firmament of heaven, praiseworthy and glorious forever.",repo://assets/nabre.db,complete,,f8ece986d8de226b2e95b8bcade2d2f23d39b86177b3c00a0ff1c8e9d4b88a8a,4fa6c222a8ba28c6a5fea68c16d01db621eb007825ce8e16b5feb903d1b9ec83,translation_variant,0.103746,,,,,unavailable,edition text not installed,,,missing_text,,2,comparison_ready
deut32_18_19_20_21,1,WORLD,,,,,,unavailable,edition text not installed,,,missing_text,,,,,,unavailable,edition text not installed,,,missing_text,,,,,,unavailable,edition text not installed,,,missing_text,,,,,,unavailable,edition text not installed,,,missing_text,,"deut32:18-19,20,21",You forgot God who gave you birth.,"You were unmindful of the Rock that begot you, and you forgot the God who gave you birth. ""The LORD saw it, and spurned them, because of the provocation of his sons and his daughters.

And he said, 'I will hide my face from them, I will see what their end will be, for they are a perverse generation, children in whom is no faithfulness.

They have stirred me to jealousy with what is no god; they have provoked me with their idols. So I will stir them to jealousy with those who are no people; I will provoke them with a foolish nation.",repo://assets/rsvce.db,complete,,3a3e87c03efd8827473deed989c5f5284306db5e97e6d4f4c9eb6778e09706a3,2f18f9eabcd7d93bcbbfcc7decc3c2b7a855bc1c27291a06ea2bc9f8e8aafd66,exact,1.0,"deut32:18-19,20,21",You forgot God who gave you birth.,"You were unmindful of the Rock that begot you, you forgot the God who gave you birth. The LORD saw and was filled with loathing, provoked by his sons and daughters.

For they are a fickle generation, children with no loyalty in them!

Since they have incited me with a “no-god,” and provoked me with their empty idols, I will incite them with a “no-people”; with a foolish nation I will provoke them.",repo://assets/nabre.db,complete,,c956be163bac0dee4e2a618229db91564977808f9fa2d5f109da12248ec93f87,b52696b2ee498704b2084949f0ea246e2403708e28d8e59290ea3cc046e36fc7,translation_variant,0.292181,,,,,unavailable,edition text not installed,,,missing_text,,2,comparison_ready
ex15_1b_2_3_4_5_6_17_18,1,WORLD,,,,,,unavailable,edition text not installed,,,missing_text,,,,,,unavailable,edition text not installed,,,missing_text,,,,,,unavailable,edition text not installed,,,missing_text,,,,,,unavailable,edition text not installed,,,missing_text,,"ex15:1b-2,3-4,5-6,17-18","I will sing to the Lord, for he has triumphed gloriously.","Then Moses and the people of Israel sang this song to the LORD, saying, ""I will sing to the LORD, for he has triumphed gloriously; the horse and his rider he has thrown into the sea. The LORD is my strength and my song, and he has become my salvation; this is my God, and I will praise him, my father's God, and I will exalt him.

The LORD is a man of war; the LORD is his name. ""Pharaoh's chariots and his host he cast into the sea; and his picked officers are sunk in the Red Sea.

The floods cover them; they went down into the depths like a stone. Thy right hand, O LORD, glorious in power, thy right hand, O LORD, shatters the enemy.

Thou wilt bring them in, and plant them on thy own mountain, the place, O LORD, which thou hast made for thy abode, the sanctuary, O LORD, which thy hands have established. The LORD will reign for ever and ever.""",repo://assets/rsvce.db,complete,,29a3b181e8dc797bf1e0f2c86e3b1c976c6853ac0b3b14a86e1c86ebe37ac2b6,ac0e648d6c2d08aed49887c62cb46b3675b8db9659f526fc2d565b41054d5587,exact,1.0,"ex15:1b-2,3-4,5-6,17-18","I will sing to the Lord, for he has triumphed gloriously.","Then Moses and the Israelites sang this song to the LORD: I will sing to the LORD, for he is gloriously triumphant; horse and chariot he has cast into the sea. This is my God, I praise him; the God of my father, I extol him.

The LORD is a warrior, LORD is his name! Pharaoh’s chariots and army he hurled into the sea; the elite of his officers were drowned in the Red Sea.

The flood waters covered them, they sank into the depths like a stone. Your right hand, O LORD, magnificent in power, your right hand, O LORD, shattered the enemy.

You brought them in, you planted them on the mountain that is your own— The place you made the base of your throne, LORD, the sanctuary, LORD, your hands established. May the LORD reign forever and ever!",repo://assets/nabre.db,complete,,1e8c646d783c73cc9df77e2bb3cdcfe4f23a903424bf8dee3409ac9a7f4ae912,76dcecb98603664bd5ec1d075e18e4357bc18fb22bbde742e76bdc78f3df5fe0,translation_variant,0.108669,,,,,unavailable,edition text not installed,,,missing_text,,2,comparison_ready
ex15_7ab_8_9_10_12_17,1,WORLD,,,,,,unavailable,edition text not installed,,,missing_text,,,,,,unavailable,edition text not installed,,,missing_text,,,,,,unavailable,edition text not installed,,,missing_text,,,,,,unavailable,edition text not installed,,,missing_text,,"ex15:7ab-8,9,10+12,17",Let us sing to the Lord; he has covered himself in glory.,"In the greatness of thy majesty thou overthrowest thy adversaries; thou sendest forth thy fury, it consumes them like stubble. At the blast of thy nostrils the waters piled up, the floods stood up in a heap; the deeps congealed in the heart of the sea.

The enemy said, 'I will pursue, I will overtake, I will divide the spoil, my desire shall have its fill of them. I will draw my sword, my hand shall destroy them.'

Thou didst blow with thy wind, the sea covered them; they sank as lead in the mighty waters. Thou didst stretch out thy right hand, the earth swallowed them.

Thou wilt bring them in, and plant them on thy own mountain, the place, O LORD, which thou hast made for thy abode, the sanctuary, O LORD, which thy hands have established.",repo://assets/rsvce.db,complete,,ad714cb97d0383939ae8414b2d06b5221a6e0d72136b4a1f2f34fbe609043938,ec76103789603a4ac01064f8ef52c99f085dc4e629bee16835345e2dbd5ecbf6,exact,1.0,"ex15:7ab-8,9,10+12,17",Let us sing to the Lord; he has covered himself in glory.,"In your great majesty you overthrew your adversaries; you loosed your wrath to consume them like stubble. At the blast of your nostrils the waters piled up, the flowing waters stood like a mound, the flood waters foamed in the midst of the sea.

The enemy boasted, “I will pursue and overtake them; I will divide the spoils and have my fill of them; I will draw my sword; my hand will despoil them!”

When you blew with your breath, the sea covered them; like lead they sank in the mighty waters. when you stretched out your right hand, the earth swallowed them!

You brought them in, you planted them on the mountain that is your own— The place you made the base of your throne, LORD, the sanctuary, LORD, your hands established.",repo://assets/nabre.db,complete,,53df7d75bb4c5e9d7136188e16e93831cc33567cf038f4eb27a983066ef1a607,82e8b47fc080915cdb52a257974c3962b4503de2c7cebd7e5a7051cc2e048844,translation_variant,0.245934,,,,,unavailable,edition text not installed,,,missing_text,,2,comparison_ready
exod15_7ab_8_9_10_12_17,1,WORLD,,,,,,unavailable,edition text not installed,,,missing_text,,,,,,unavailable,edition text not installed,,,missing_text,,,,,,unavailable,edition text not installed,,,missing_text,,,,,,unavailable,edition text not installed,,,missing_text,,"exod15:7ab-8,9,10+12,17",Let us sing to the Lord;,"In the greatness of thy majesty thou overthrowest thy adversaries; thou sendest forth thy fury, it consumes them like stubble. At the blast of thy nostrils the waters piled up, the floods stood up in a heap; the deeps congealed in the heart of the sea.

The enemy said, 'I will pursue, I will overtake, I will divide the spoil, my desire shall have its fill of them. I will draw my sword, my hand shall destroy them.'

Thou didst blow with thy wind, the sea covered them; they sank as lead in the mighty waters. Thou didst stretch out thy right hand, the earth swallowed them.

Thou wilt bring them in, and plant them on thy own mountain, the place, O LORD, which thou hast made for thy abode, the sanctuary, O LORD, which thy hands have established.",repo://assets/rsvce.db,complete,,217774ddf9a9b6e97f14ccc3741a0987e223577e081a0c53fc6f2ce963fc3dbb,de176510af9468e8ad6f1502883fb0167e8915a4bad304536407a483f46f7583,exact,1.0,"exod15:7ab-8,9,10+12,17",Let us sing to the Lord;,"In your great majesty you overthrew your adversaries; you loosed your wrath to consume them like stubble. At the blast of your nostrils the waters piled up, the flowing waters stood like a mound, the flood waters foamed in the midst of the sea.

The enemy boasted, “I will pursue and overtake them; I will divide the spoils and have my fill of them; I will draw my sword; my hand will despoil them!”

When you blew with your breath, the sea covered them; like lead they sank in the mighty waters. when you stretched out your right hand, the earth swallowed them!

You brought them in, you planted them on the mountain that is your own— The place you made the base of your throne, LORD, the sanctuary, LORD, your hands established.",repo://assets/nabre.db,complete,,c727236ee716a0f55facf42e129eb4726f03e1724994a021ff242d4fb18a648e,c736170bc40d8ee8324988d7f7f48c455c09d159658b6a8539deb24cdd6c7b1c,translation_variant,0.089613,,,,,unavailable,edition text not installed,,,missing_text,,2,comparison_ready
isa12_2_3_4_5_6,3,WORLD,,,,,,unavailable,edition text not installed,,,missing_text,,,,,,unavailable,edition text not installed,,,missing_text,,,,,,unavailable,edition text not installed,,,missing_text,,,,,,unavailable,edition text not installed,,,missing_text,,"isa12:2-3,4,5-6",(6) Cry out with joy and gladness:,"""Behold, God is my salvation; I will trust, and will not be afraid; for the LORD GOD is my strength and my song, and he has become my salvation."" With joy you will draw water from the wells of salvation.

And you will say in that day: ""Give thanks to the LORD, call upon his name; make known his deeds among the nations, proclaim that his name is exalted.

""Sing praises to the LORD, for he has done gloriously; let this be known in all the earth. Shout, and sing for joy, O inhabitant of Zion, for great in your midst is the Holy One of Israel.""",repo://assets/rsvce.db,complete,,28b66dba62090567b7ad07cf99f47f21636cb6e8d3345cc6554a26ff180b99dd,ef6d6f4d2d25a16c95b18db623782022bdcaf65f956b6d96b7dc891d4d1f7468,exact,1.0,"isa12:2-3,4,5-6",(6) Cry out with joy and gladness:,"For the LORD is my strength and my might, and he has been my salvation. With joy you will draw water from the fountains of salvation,

And you will say on that day: give thanks to the LORD, acclaim his name; Among the nations make known his deeds, proclaim how exalted is his name.

Sing praise to the LORD for he has done glorious things; let this be known throughout all the earth. Shout with exultation, City of Zion, for great in your midst is the Holy One of Israel!",repo://assets/nabre.db,complete,,ae9ad28b3e48beb4192eca6ab24a9ff9f2d36281e94eac3d6b2a44a41a9463ad,be928f330b1120200126af10b909c4dd405855cbf6bbc25eea5a3aa8a5a545a4,translation_variant,0.213462,,,,,unavailable,edition text not installed,,,missing_text,,2,comparison_ready
isa12_2_3_4bcd_5_6,1,WORLD,,,,,,unavailable,edition text not installed,,,missing_text,,,,,,unavailable,edition text not installed,,,missing_text,,,,,,unavailable,edition text not installed,,,missing_text,,,,,,unavailable,edition text not installed,,,missing_text,,"isa12:2-3,4bcd,5-6",(3) You will draw water joyfully from the springs of salvation.,"""Behold, God is my salvation; I will trust, and will not be afraid; for the LORD GOD is my strength and my song, and he has become my salvation."" With joy you will draw water from the wells of salvation.

And you will say in that day: ""Give thanks to the LORD, call upon his name; make known his deeds among the nations, proclaim that his name is exalted.

""Sing praises to the LORD, for he has done gloriously; let this be known in all the earth. Shout, and sing for joy, O inhabitant of Zion, for great in your midst is the Holy One of Israel.""",repo://assets/rsvce.db,complete,,7885ef557d247a779b9dabb65fa52ee98cbf24ddbed47242042a1f68ccacca4d,70e4c85caf1b8fadf4951ef3d183e686161e83fa34931d65192e90a9d9318219,exact,1.0,"isa12:2-3,4bcd,5-6",(3) You will draw water joyfully from the springs of salvation.,"For the LORD is my strength and my might, and he has been my salvation. With joy you will draw water from the fountains of salvation,

And you will say on that day: give thanks to the LORD, acclaim his name; Among the nations make known his deeds, proclaim how exalted is his name.

Sing praise to the LORD for he has done glorious things; let this be known throughout all the earth. Shout with exultation, City of Zion, for great in your midst is the Holy One of Israel!",repo://assets/nabre.db,complete,,945c4582d46f57731848b8036b55fef5f3776c4c7c9d3adaea53b5c364e6f9cf,138bfce0185f19d542f232668f16fb8d731305ebcba606d1e241f8fa20283965,translation_variant,0.255009,,,,,unavailable,edition text not installed,,,missing_text,,2,comparison_ready
isa12_2_6,1,WORLD,,,,,,unavailable,edition text not installed,,,missing_text,,,,,,unavailable,edition text not installed,,,missing_text,,,,,,unavailable,edition text not installed,,,missing_text,,,,,,unavailable,edition text not installed,,,missing_text,,isa12:2-6,With joy you will draw water from the wells of salvation.,"""Behold, God is my salvation; I will trust, and will not be afraid; for the LORD GOD is my strength and my song, and he has become my salvation."" With joy you will draw water from the wells of salvation. And you will say in that day: ""Give thanks to the LORD, call upon his name; make known his deeds among the nations, proclaim that his name is exalted. ""Sing praises to the LORD, for he has done gloriously; let this be known in all the earth. Shout, and sing for joy, O inhabitant of Zion, for great in your midst is the Holy One of Israel.""",repo://assets/rsvce.db,complete,,ee4663a2ab922b0469bc2294ce8b4a20e10eadef01ee4cf3eb18a33876438ff3,288dda42c57f42b6df1c6f262ef0cda6612de3ca0d6dcc8f00f5144623818f96,exact,1.0,isa12:2-6,With joy you will draw water from the wells of salvation.,"For the LORD is my strength and my might, and he has been my salvation. With joy you will draw water from the fountains of salvation, And you will say on that day: give thanks to the LORD, acclaim his name; Among the nations make known his deeds, proclaim how exalted is his name. Sing praise to the LORD for he has done glorious things; let this be known throughout all the earth. Shout with exultation, City of Zion, for great in your midst is the Holy One of Israel!",repo://assets/nabre.db,complete,,af9f9b1a842f543c2feef2d7a6f3aa6f38a7f445360bcd1d68dc457f4f10f3a2,a03af53bc5b736cb2d9938f0be59e0ddbfa5a863132fe0abbb157ce71079779e,translation_variant,0.249541,,,,,unavailable,edition text not installed,,,missing_text,,2,comparison_ready
jer31_10_11_12abcd_13,1,WORLD,,,,,,unavailable,edition text not installed,,,missing_text,,,,,,unavailable,edition text not installed,,,missing_text,,,,,,unavailable,edition text not installed,,,missing_text,,,,,,unavailable,edition text not installed,,,missing_text,,"jer31:10,11-12abcd,13","The Lord will guard us, as a shepherd guards his flock.","""Hear the word of the LORD, O nations, and declare it in the coastlands afar off; say, 'He who scattered Israel will gather him, and  will keep him as a shepherd keeps his flock.'

For the LORD has ransomed Jacob, and has redeemed him from hands too strong for him. They shall come and sing aloud on the height of Zion, and they shall be  radiant over the goodness of the LORD, over the grain, the wine, and the oil, and over the young of the flock and the herd; their life shall  be like a watered garden, and they shall languish no more.

Then shall the maidens rejoice in the dance, and the young men and the old shall be merry. I will turn their mourning into joy, I will comfort  them, and give them gladness for sorrow.",repo://assets/rsvce.db,complete,,e547e8ad51d02a09639b609e0cc7383f1e3b039085e565eb848f33c87c6fc6c6,d952bdbee38cb19a47e87e251e6961ea40dda32d8679a43e693647fdc68c6640,exact,1.0,"jer31:10,11-12abcd,13","The Lord will guard us, as a shepherd guards his flock.","Hear the word of the LORD, you nations, proclaim it on distant coasts, and say: The One who scattered Israel, now gathers them; he guards them as a shepherd his flock.

The LORD shall ransom Jacob, he shall redeem him from a hand too strong for him. Shouting, they shall mount the heights of Zion, they shall come streaming to the LORD’s blessings: The grain, the wine, and the oil, flocks of sheep and cattle; They themselves shall be like watered gardens, never again neglected.

I will turn their mourning into joy, I will show them compassion and have them rejoice after their sorrows.",repo://assets/nabre.db,complete,,581e36a88bade9c9a4864a89cd72c409341111325a44e25719b0ee396c92ccad,8f8f5527bcdd80ae54d390ab4640cca43ffabb6dbd4b10f56a633aa15a34c393,translation_variant,0.128186,,,,,unavailable,edition text not installed,,,missing_text,,2,comparison_ready
luke1_46_48_49_50_53_54,2,WORLD,,,,,,unavailable,edition text not installed,,,missing_text,,,,,,unavailable,edition text not installed,,,missing_text,,,,,,unavailable,edition text not installed,,,missing_text,,,,,,unavailable,edition text not installed,,,missing_text,,"luke1:46-48,49-50,53-54",(Isaiah 61:10b) My soul rejoices in my God.,"And Mary said, ""My soul magnifies the Lord, and my spirit rejoices in God my Savior, for he has regarded the low estate of his handmaiden. For behold, henceforth all generations will call me blessed;

for he who is mighty has done great things for me, and holy is his name. And his mercy is on those who fear him from generation to generation.

he has filled the hungry with good things, and the rich he has sent empty away. He has helped his servant Israel, in remembrance of his mercy,",repo://assets/rsvce.db,complete,,1060d7024e767ad41924b3472d8ed61034fd248deaf6d7a9c04991d4424018a3,ce0260f6d8bfbd570ba146937a6f8d24a6f29ce96ed9d2df04db64bb360d333d,exact,1.0,"luke1:46-48,49-50,53-54",(Isaiah 61:10b) My soul rejoices in my God.,"And Mary said: “My soul proclaims the greatness of the Lord; my spirit rejoices in God my savior. For he has looked upon his handmaid’s lowliness; behold, from now on will all ages call me blessed.

The Mighty One has done great things for me, and holy is his name. His mercy is from age to age to those who fear him.

The hungry he has filled with good things; the rich he has sent away empty. He has helped Israel his servant, remembering his mercy,",repo://assets/nabre.db,complete,,64629b588f7ec098747d7b16d189123f9e012ae6c48111f98688c6379c89e846,d0886dd71a8ed7cbe012abe898bfe90c5e03f868aa2067515b808f06f2bf7591,translation_variant,0.368421,,,,,unavailable,edition text not installed,,,missing_text,,2,comparison_ready
ps100_1_2_3_4_5,22,WORLD,,,,,,unavailable,edition text not installed,,,missing_text,,,,,,unavailable,edition text not installed,,,missing_text,,,,,,unavailable,edition text not installed,,,missing_text,,,,,,unavailable,edition text not installed,,,missing_text,,"ps100:1-2,3,4,5",Let all the earth cry out with joy.,"Make a joyful noise to the LORD, all the lands! Serve the LORD with gladness! Come into his presence with singing!

Know that the LORD is God!It is he that made us, and we are his;  we are his people, and the sheep of his pasture.

Enter his gates with thanksgiving,and his courts with praise! Give thanks to him, bless his name!

For the LORD is good; his steadfast love endures for ever, and his faithfulness to all generations.",repo://assets/rsvce.db,complete,,93679d190e2f6eea5a43e5a243bf1daf722c9ba1b86033e92f04726079270c9f,0fa3522b8f1efe10633a638bac5ac2912c0946f6cf464bbd94b92fbb605fc3b8,exact,1.0,"ps100:1-2,3,4,5",Let all the earth cry out with joy.,"Psalm 100 Processional Hymn - A psalm of thanksgiving. Shout joyfully to the LORD, all you lands; serve the LORD with gladness; come before him with joyful song.

Know that the LORD is God, he made us, we belong to him, we are his people, the flock he shepherds.

Give thanks to him, bless his name;

good indeed is the LORD, His mercy endures forever, his faithfulness lasts through every generation.",repo://assets/nabre.db,complete,,02025dcc03a139c4b7540312c7a90bcb3d59c441bf83a26546247d9cc504f26d,a2327157f37a1b2613d7188a32d0dd5e05ca389db7d1578387007193397d905b,translation_variant,0.22248,,,,,unavailable,edition text not installed,,,missing_text,,2,comparison_ready
ps100_1_2_3_5,7,WORLD,,,,,,unavailable,edition text not installed,,,missing_text,,,,,,unavailable,edition text not installed,,,missing_text,,,,,,unavailable,edition text not installed,,,missing_text,,,,,,unavailable,edition text not installed,,,missing_text,,"ps100:1-2,3,5","(3c) We are his people, the sheep of his flock.","Make a joyful noise to the LORD, all the lands! Serve the LORD with gladness! Come into his presence with singing!

Know that the LORD is God!It is he that made us, and we are his;  we are his people, and the sheep of his pasture.

For the LORD is good; his steadfast love endures for ever, and his faithfulness to all generations.",repo://assets/rsvce.db,complete,,1f5199c9e6aa9723d84b5df17dc4afcf198eddf3ba075307da7a24a97814adfa,fc8002b9b8435be5d4d8e4c0574d9cf784ab29defe6b54dfb52e1938f55f173a,exact,1.0,"ps100:1-2,3,5","(3c) We are his people, the sheep of his flock.","Psalm 100 Processional Hymn - A psalm of thanksgiving. Shout joyfully to the LORD, all you lands; serve the LORD with gladness; come before him with joyful song.

Know that the LORD is God, he made us, we belong to him, we are his people, the flock he shepherds.

good indeed is the LORD, His mercy endures forever, his faithfulness lasts through every generation.",repo://assets/nabre.db,complete,,76bfebecb4d827792766b9f2752d21b997acc61a53e34e5f64935368b2b5c899,9275a966fc1a6d1006f0ab9b7b3af28392144c6e905d2b85f49114a8236ad5df,translation_variant,0.343085,,,,,unavailable,edition text not installed,,,missing_text,,2,comparison_ready
ps101_1_2ab_2cd_3ab_5_6,3,WORLD,,,,,,unavailable,edition text not installed,,,missing_text,,,,,,unavailable,edition text not installed,,,missing_text,,,,,,unavailable,edition text not installed,,,missing_text,,,,,,unavailable,edition text not installed,,,missing_text,,"ps101:1-2ab,2cd-3ab,5,6",I will walk with blameless heart.,"I will sing of loyalty and of justice; to thee, O LORD, I will sing. I will give heed to the way that is blameless.Oh when wilt thou come to me? I will walk with integrity of heart within my house;

I will give heed to the way that is blameless.Oh when wilt thou come to me? I will walk with integrity of heart within my house; I will not set before my eyes anything that is base.I hate the work of those who fall away; it shall not cleave to me.

Him who slanders his neighbor secretly I will destroy. The man of haughty looks and arrogant heart I will not endure.

I will look with favor on the faithful in the land,that they may dwell with me; he who walks in the way that is blameless shall minister to me.",repo://assets/rsvce.db,complete,,44e5a4a84badba3fb50f7d0959fe94c8446f72db1b9ff84849c035484f6e8cdf,93cc3defbcda5228f6d6b26827e4096c81d41e1d61de5f05a43b12588dd197f1,exact,1.0,"ps101:1-2ab,2cd-3ab,5,6",I will walk with blameless heart.,"Psalm 101 Norm of Life for Rulers - A psalm of David. I - I sing of mercy and justice; to you, LORD, I sing praise. I study the way of integrity; when will you come to me? I act with integrity of heart within my household.

I study the way of integrity; when will you come to me? I act with integrity of heart within my household. I hate wrongdoing; I will have no part of it.

Haughty eyes and arrogant hearts I cannot endure.

Whoever follows the way of integrity is the one to enter my service.",repo://assets/nabre.db,complete,,96ec920d1561c4688e91bccc6b2e738fedf4ccee97172500f097424b925e770d,f7ae18ae8087c2edac051f6aecb56711c11402f84792cf8d151686c02c7b257c,translation_variant,0.082658,,,,,unavailable,edition text not installed,,,missing_text,,2,comparison_ready
ps102_12_14_15_17_18_20,3,WORLD,,,,,,unavailable,edition text not installed,,,missing_text,,,,,,unavailable,edition text not installed,,,missing_text,,,,,,unavailable,edition text not installed,,,missing_text,,,,,,unavailable,edition text not installed,,,missing_text,,"ps102:12-14,15-17,18-20",From heaven the Lord looks down on the earth.,"My days are like an evening shadow; I wither away like grass. But thou, O LORD, art enthroned for ever; thy name endures to all generations. Thou wilt arise and have pity on Zion; it is the time to favor her; the appointed time has come.

For thy servants hold her stones dear, and have pity on her dust. The nations will fear the name of the LORD, and all the kings of the earth thy glory. For the LORD will build up Zion, he will appear in his glory;

he will regard the prayer of the destitute, and will not despise their supplication. Let this be recorded for a generation to come, so that a people yet unborn may praise the LORD: that he looked down from his holy height, from heaven the LORD looked at the earth,",repo://assets/rsvce.db,complete,,a7493bac224d97c3872902a3033a1ec8e5984ed1e3c01e04984abb5d77fc5766,e498b1933ca5d679e1f003332a4feab8dd104cc02c2fd494ea8a7a9ef58a16a8,exact,1.0,"ps102:12-14,15-17,18-20",From heaven the Lord looks down on the earth.,"My days are like a lengthening shadow; I wither like the grass. But you, LORD, are enthroned forever; your renown is for all generations. You will again show mercy to Zion; now is the time for pity; the appointed time has come.

Its stones are dear to your servants; its dust moves them to pity. The nations shall fear your name, LORD, all the kings of the earth, your glory, Once the LORD has rebuilt Zion and appeared in glory,

Heeding the plea of the lowly, not scorning their prayer. Let this be written for the next generation, for a people not yet born, that they may praise the LORD: “The LORD looked down from the holy heights, viewed the earth from heaven,",repo://assets/nabre.db,complete,,c2944ebcd1b2bdbf0f0e26d24e80a3adf2418317dc6bd4204aa50017f98cbf22,9dfb15b5889a4354cbdf0f2fb9b981a873a8cdd613c809fa873fe2c7883da473,translation_variant,0.102456,,,,,unavailable,edition text not installed,,,missing_text,,2,comparison_ready
ps102_15_17_18_20_28_21_22,12,WORLD,,,,,,unavailable,edition text not installed,,,missing_text,,,,,,unavailable,edition text not installed,,,missing_text,,,,,,unavailable,edition text not installed,,,missing_text,,,,,,unavailable,edition text not installed,,,missing_text,,"ps102:15-17,18-20,28+21-22","The Lord will build up Zion again,","For thy servants hold her stones dear, and have pity on her dust. The nations will fear the name of the LORD, and all the kings of the earth thy glory. For the LORD will build up Zion, he will appear in his glory;

he will regard the prayer of the destitute, and will not despise their supplication. Let this be recorded for a generation to come, so that a people yet unborn may praise the LORD: that he looked down from his holy height, from heaven the LORD looked at the earth,

but thou art the same, and thy years have no end. to hear the groans of the prisoners, to set free those who were doomed to die; that men may declare in Zion the name of the LORD, and in Jerusalem his praise,",repo://assets/rsvce.db,complete,,a3836bec4a269c277cbf3ef72be9fd4dc75dd2d11ddae858c371e8d7c1a6621b,2cc5eb853a46f2bef7b99a85793aa7a6c0c22fe97f0ff5cda0eae1f4c7fefdb6,exact,1.0,"ps102:15-17,18-20,28+21-22","The Lord will build up Zion again,","Its stones are dear to your servants; its dust moves them to pity. The nations shall fear your name, LORD, all the kings of the earth, your glory, Once the LORD has rebuilt Zion and appeared in glory,

Heeding the plea of the lowly, not scorning their prayer. Let this be written for the next generation, for a people not yet born, that they may praise the LORD: “The LORD looked down from the holy heights, viewed the earth from heaven,

but you are the same, your years have no end. To attend to the groaning of the prisoners, to release those doomed to die.” Then the LORD’s name will be declared on Zion, his praise in Jerusalem,",repo://assets/nabre.db,complete,,ca64ac321f73dc265b329035635b6731ba31c7d6c5c4867e84d34d3d35bda5ad,ae5ab79945dc50ee41e5967843fb3e032a21f856b15df9f5cc77a3083dad424a,translation_variant,0.106984,,,,,unavailable,edition text not installed,,,missing_text,,2,comparison_ready
